"Sample","OLFM4","NLRP3","CCR7","MAPK14","CX3CR1","ELANE","FCGR1A","GATA3","HIF1A","HLA-DRA","HMGB1","ICAM1","IFNG","IL1B","IL6","CXCL8","IL10","CXCL10","ITGAM","ARG1","LCN2","MMP8","MMP9","MYD88","NOTCH1","P2RX7","PDCD1","PLAUR","TREM1","CD177","PTX3","BCL2","S100A8","S100A9","S100A12","CCL2","CCL25","TLR2","TLR4","TNF","C3AR1","C5AR1","CCR2","VCAM1","IL1R2","TNFSF10","SOCS3","CD14","Label"
"GSM6456143",7.17005590636704,8.75532239584826,8.31748702156269,11.5985153615845,11.1767900660599,8.19061738854204,11.5671355825639,8.15810392189512,9.39094841255336,12.0117417144194,11.3057345917023,10.0841828680291,6.05695716267476,10.2543359982463,2.04415748155099,9.00879473769244,3.28696860276925,4.15984732780884,12.8918940471644,10.1035179227634,11.3378353311631,9.00422965002573,13.4000372693083,12.9308999899693,12.1269755809257,7.4440972873282,6.40142911081581,11.3943120736819,12.4793836962272,11.8592687736531,5.55281798765981,8.30269024243042,17.3898338697382,18.6384657865479,13.4891017348416,3.28696860276925,2.04415748155099,12.9671209270701,11.9649393246027,6.31538195035218,7.39609295479937,13.1801608447901,8.04262161420251,3.28696860276925,10.4466079438476,13.3392651794401,9.62600455212531,13.130497150174,"Control"
"GSM6456144",7.89505933009984,7.88349611377344,9.7245010167495,10.5094796662794,10.6023152249867,10.553000106538,9.5044388479388,9.96285386773937,8.83459294543936,12.0836425671117,11.8791174681989,10.738482903767,7.2071202626942,7.94040658086294,2.04415748155099,11.9157554361419,2.04415748155099,3.38055878114339,11.7028884168765,8.22783032965701,12.8438236502809,9.36384379623978,11.2831395302124,11.1758719081887,11.3664668687518,7.38992220009178,7.08110895292769,10.9603407202175,11.8389085906884,8.91344711580547,6.27365621411248,9.88673037912429,15.7885885123938,17.0250069347136,12.6478642334445,3.21125438539911,3.97405560931655,10.9983502561476,9.85304654331023,6.90916003606616,7.02954729077964,11.6641439791163,7.09120337546754,2.04415748155099,10.7002832397033,10.581897223362,9.97379743452459,11.823111160725,"Control"
"GSM6456145",5.6599997156116,10.4963189073052,8.75069259024178,12.2433435601484,11.053173016439,7.08825662517088,13.0509964455981,7.90257546898262,9.85286961226833,13.1321342801931,11.1034669701572,12.9666318057201,5.41157743980717,11.4266559215555,2.74475167795843,13.3407233882708,4.10241196632414,5.98926596889335,13.0869644786126,7.96692008733064,10.6123832826406,8.07171541318134,13.0985941431306,12.7974509862248,12.7531593229375,8.907921965449,6.67680364001369,13.3079392017096,13.2859005494588,12.6384472824322,6.66272562138961,7.77767879417403,17.4643938887808,19.0432914400273,13.8757589224969,3.23544645335603,2.74475167795843,13.0811968628264,11.8993568942221,8.28404323541624,8.21347102768209,13.7179830886891,9.29494280679095,2.74475167795843,12.2789076557246,12.9835153690621,13.5557409082132,14.1802315134482,"Control"
"GSM6456146",5.41661557877083,9.51300008895112,8.9111973277847,11.628405608132,10.6728751584395,4.55632851923279,9.26887866329558,8.22171164904083,10.8895997091331,13.0445788685503,11.8040081947392,10.964547415447,5.98682587146329,9.43175552379466,3.9764438648683,12.9756205811473,4.96045554264252,4.62678131430355,12.7359691245989,9.87447624181496,7.68589306841407,7.33881194159389,12.9636969255601,12.0121516507037,12.1841285757431,8.31270627866474,5.93362139739404,10.7457541089657,12.6560813908916,11.8404394300335,6.72544768656044,9.54204820001521,16.0733351730317,16.9410353417473,13.7972320357845,2.79515403063201,2.04415748155099,12.341747677824,11.7473362606128,7.12492007290458,9.1563315707864,13.0132070312334,8.8782816904901,3.65713063938108,12.5157189192056,10.7761637879224,10.9963782335192,12.2516259164907,"Control"
"GSM6456147",3.85832021668368,10.2882894206663,7.08353522515754,10.4022121167376,12.4978066070332,5.3446598169966,10.0207173132504,7.95616709433744,11.2171935575445,14.1486279419359,11.422753709092,10.2911430189198,6.36313504797298,9.11894906169547,3.46476621714957,9.52986902825247,3.85832021668368,10.8148901043767,11.9199529224982,5.86026987404914,6.54664781035667,3.78942421473858,9.51651909366733,12.7888894748741,11.8349985456969,9.67238750766775,5.6073746521213,10.552479472612,11.7766375228884,3.92355081546613,6.14002250756293,9.24056209563127,14.5563909130774,15.8124305849141,10.5530739596174,9.05154613122919,2.59961710436742,12.1519163058698,11.6933413514083,7.89368713540043,9.64141434113086,12.2600039597636,8.70295348514695,3.6384738236217,8.72844361924271,13.7126298707357,10.0597280806065,12.6490789680599,"Control"
"GSM6456148",8.74645884792246,8.02761924241691,8.40402109294223,11.0608423039568,5.07330608617998,17.5240019557021,11.8965884014222,8.16429654895998,7.75198843367897,10.2035451686377,10.6958981989937,10.5224006071519,3.75132129665216,6.65787730410626,2.04415748155099,6.59467245004402,2.04415748155099,4.49948268572407,13.1963660761793,9.94673722081647,17.5152938407033,9.754453514616,15.6186980214985,10.6344820050892,11.1567929937849,7.41089500647408,6.68846746410167,11.3494702072442,13.7088308488936,13.0744775965881,5.84905677639742,7.17227513161851,18.8939442554448,20.6233955813255,14.4383922606654,3.0667663125906,3.98318347870609,12.1026779864555,9.40041292186494,4.87141731780769,7.91587604878788,11.7138142345841,5.47876773875616,2.04415748155099,15.2332906283784,12.2590105150451,6.83235950699354,12.0855691624713,"Sepsis"
"GSM6456149",4.26627463482952,9.66785439216049,9.80963707953539,11.2201568095387,9.95731256180419,6.38471029613986,10.7506916230612,8.86274099108329,8.80095554093988,14.0801744809189,11.2385112736328,11.3335917853406,3.78702512942971,10.0800001152058,2.04415748155099,9.20106566861289,2.95438527193152,3.450942876296,12.601480571108,7.46757781147395,8.06051230421588,4.33131835628021,12.3315246602062,12.3648603807575,11.8905035384505,8.35784751096509,6.51114366467892,11.6149512371536,12.6982204023923,13.244560919609,4.71519312667752,8.26935707907616,17.427416905092,18.9814689655321,14.6595259719867,2.04415748155099,2.04415748155099,12.0077972214978,10.4491674151517,6.98754103713159,9.96590603757961,13.286818074167,8.10566030732335,2.04415748155099,11.7705516042645,11.8752700900715,9.57139732728822,14.324373246196,"Sepsis"
"GSM6456150",5.81977518728907,11.1278636832376,7.5918067931146,13.8732599684486,6.10987539608521,4.42965867478446,11.4917207976237,7.41770002544913,12.1079113199607,11.7244678422714,11.9067069688861,13.3739339302686,4.88721599571633,10.1250889522578,3.26453834984829,12.7664836013095,5.4552292071704,3.51874465254715,13.9923884448453,11.4703853208084,11.2998890431239,8.79270830056788,15.4970562682803,12.4278664914453,12.8808066353798,6.69477050784947,4.80710424736157,12.0768762296616,13.2122112181126,15.7924319388986,6.17406197697787,5.55549252755791,19.1059639842214,19.8410071000758,16.5156365122711,2.04415748155099,2.91956470180191,14.3801690172477,11.753543936109,8.27786331913191,9.82486567651957,12.9256248209827,4.19202925262939,2.04415748155099,15.4123146857311,11.2782246462481,12.5702339849942,13.3524976078008,"Sepsis"
"GSM6456151",6.81294058928062,9.95880709256986,4.62009224636669,12.8698607030196,6.69911758963059,8.13856382997212,10.6571546923058,4.80047888936981,10.6581055679937,11.3208644136449,11.6719490101737,10.6156625717265,3.86102903210011,9.23179340883563,2.76949486188464,11.8096776883226,3.86102903210011,4.0720444572143,14.1343442351506,12.3170350652584,10.6097769241377,10.0857884940396,14.0361851691884,12.853765807289,13.0827610553273,8.09427746158796,4.80047888936981,11.2551429882031,13.2938608564346,13.3706977389647,7.57955729025941,5.74718675842423,17.6051108520713,18.7552235811233,15.2234103627882,2.04415748155099,2.04415748155099,14.168194737089,13.1579584601385,7.45371449776143,7.31582186210526,13.3161704443387,8.27872154452163,2.04415748155099,15.1202789404398,12.5799319044876,11.062473997839,12.0295165102639,"Sepsis"
"GSM6456152",7.63108939923692,9.37994350386576,6.92465539684438,12.6392621798216,7.94931989313993,6.82904178892445,9.03641315373086,6.84309600043607,12.8010250025161,10.3564219405868,11.8596808043327,10.9546155643032,6.66464227915862,9.78084288167614,3.89596949118453,13.9469302919572,4.52814176273165,2.04415748155099,14.0852882131326,13.2381153797501,9.36055783647451,7.88291451329019,14.0577177325018,12.25927292274,13.2505098601307,6.78603623052545,5.19712946147591,11.2403109778964,14.0958591928869,12.1558865599532,6.51457801569978,7.65516594195022,16.8578333996153,17.7881739969295,13.2143527764889,2.04415748155099,2.04415748155099,14.4959964366602,13.6772888464595,7.75508671255113,6.3666086376286,13.8351751368869,6.40505468195164,2.78495921648888,15.5763596217478,11.8652794754463,11.4736081835142,10.5771709289263,"Sepsis"
