Gene adjusted_p Rank_Stat Mean_Importance Rank_RF Rank_Diff predicted_importance EffectSize
FCGR1A 7.80457324044173e-23 1 33.9573217187716 1 0 8.79915435678409 0.515
S100A9 1.61339607004185e-22 2 29.7679489811884 2 0 8.79915435678372 0.51
S100A12 7.90603099631668e-22 3 18.5136494163818 5 2 8.79915435678092 0.5
S100A8 4.37056219047638e-21 4 15.5859788184989 8 4 8.79915435676499 0.489
GATA3 7.98727991092764e-21 5 18.4933286282976 6 1 8.7991543567489 -0.485
IL10 3.4241530713039e-20 6 23.4980745555555 3 3 8.79915435663211 0.476
CD177 3.4241530713039e-20 7 19.4799832207203 4 3 8.79915435663211 0.476
MYD88 7.86766841456244e-20 8 13.2195442067078 10 2 8.79915435643445 0.47
TNFSF10 7.86766841456244e-20 9 16.8083014059094 7 2 8.79915435643445 0.47
C3AR1 1.28507568450926e-19 10 14.7767784549617 9 1 8.79915435621278 0.467
BCL2 1.22090894261177e-17 11 4.27371998524634 14 3 8.79915430247372 -0.441
MAPK14 1.28379074751239e-17 12 9.88395353383602 11 1 8.7991542996765 0.44
SOCS3 2.62083730008278e-17 13 3.98157949293268 15 2 8.79915424019955 0.436
ITGAM 8.58350163933751e-17 14 2.64237291051733 18 4 8.79915397495751 0.428
CCR7 6.61865356168346e-16 15 8.31196509929929 12 3 8.79915141256314 -0.415
MMP8 6.61865356168346e-16 16 2.34890818330583 19 3 8.79915141256314 0.416
ARG1 3.10591678403749e-15 17 5.60662559902855 13 4 8.79914054068951 0.406
TLR2 4.40132294058453e-13 18 2.96024676028203 17 1 8.79720077550236 0.373
MMP9 1.18144177033737e-12 19 1.66960735234405 25 6 8.79392965351219 0.366
IL1R2 2.5677003709398e-12 20 1.29649164187652 30 10 8.78787642040193 0.361
ICAM1 2.68947523043274e-11 21 0.795948916311195 40 19 8.69319926944855 0.343
PLAUR 3.94347956383238e-11 22 1.45498901458907 28 6 8.65127812158399 0.34
LCN2 4.32059620844794e-11 23 0.829404888127116 38 15 8.63940680412491 0.339
IL1B 1.11119645213665e-10 24 1.20888810710279 31 7 8.46674674091708 0.332
CD14 1.27692345849547e-10 25 0.394707396886887 49 24 8.43313015177784 0.33
PTX3 1.7391554737281e-10 26 0.827727143594886 39 13 8.35091313196862 0.328
TLR4 1.925839661945e-09 27 0.995270966580639 34 7 7.46082727983518 0.309
NLRP3 6.07888499932336e-09 28 0.696748342742452 43 15 6.96476418676275 0.299
CALCA 3.12669425884527e-08 29 1.06979612375557 32 3 6.24207233912246 -0.285
CCR2 2.39940618814107e-07 30 1.89195027266683 23 7 5.3368024206004 0.266
CRP 4.05320931475511e-07 31 1.4083311059467 29 2 5.10365475462455 -0.261
OLFM4 6.43369248630516e-07 32 0.516370659318712 47 15 4.89816239468323 0.257
CXCL8 1.04311283471906e-06 33 1.87282142090183 24 9 4.68322260990898 -0.252
CXCL10 2.39597873132777e-06 34 1.64870909642039 26 8 4.3133269088012 0.243
ELANE 1.33237212336342e-05 35 0.524704807289079 46 11 3.55010884293549 0.225
LBP 8.48160017565271e-05 36 0.847225614882058 37 1 2.72674332016506 -0.203
HIF1A 0.00016424606512998 37 0.26222560484093 51 14 2.43275813791915 0.195
IL6 0.0004439053936452 38 0.737853574494185 42 4 1.9904796481513 -0.182
P2RX7 0.0004439053936452 39 3.97763949567226 16 23 1.9904796481513 0.181
CX3CR1 0.00134959602424739 40 0.758938472101223 41 1 1.49584208413287 -0.166
HMGB1 0.00262036583395204 41 0.886945734323172 36 5 1.20068800382686 0.156
CCL19 0.0196255780097001 42 1.02717522174555 33 9 0.304997170606928 -0.122
TREM1 0.0260668192101454 43 2.19378705924721 21 22 0.178738922325757 0.117
IFNG 0.0369144313320396 44 0.45644181402536 48 4 0.0239621478348831 -0.109
HLA.DRA 0.0497232400920734 45 1.61858683220022 27 18 -0.108541795386783 0.103
NOTCH1 0.0529159924425478 46 2.23888921740975 20 26 -0.13622549988943 -0.101
C5AR1 0.0577815737012524 47 1.90861637224584 22 25 -0.175355405542842 0.0985
PDCD1 0.0646474328983555 48 0.574428469054452 45 3 -0.225301174841407 -0.0955
CCL2 0.133856799982655 49 0.624461428027664 44 5 -0.549064401730649 0.0778
CCL25 0.141743798598469 50 0.891386360991201 35 15 -0.574531674472096 -0.0758
IFNB1 0.308094628470039 51 0.102093393138271 53 2 -0.919897855525306 -0.053
VCAM1 0.546029240750224 52 0.360904425502818 50 2 -1.17446353123972 -0.0313
TNF 0.712975385965019 53 0.260051976734818 52 1 -1.29313500579645 -0.0186
