Gene,Mean_Sepsis,Mean_Control,Direction,W,p_value,effect_size,adjusted_p
GATA3.1,2.502968879651042,4.475295645,Down_in_Sepsis,45,2.378903256931871e-41,-0.9888392857142857,6.898819445102425e-40
GATA3,4.360759555416666,6.217575528785714,Down_in_Sepsis,67,8.488896620229455e-40,-0.9833829365079365,1.230890009933271e-38
IL1R2,10.917175062432293,7.2509394279285715,Up_in_Sepsis,7958,1.465447960034242e-37,0.9737103174603174,1.4165996946997672e-36
MAPK14.3,8.089078244020833,5.684872730595238,Up_in_Sepsis,7943,8.199132049661849e-37,0.9699900793650794,5.94437073600484e-36
BCL2.1,2.9208069672864583,5.252323684309524,Down_in_Sepsis,133,3.010592680813859e-36,-0.9670138888888888,1.7461437548720384e-35
BCL2,3.0154778103020834,5.22394172597619,Down_in_Sepsis,139,5.6397934341498924e-36,-0.9655257936507936,2.7259001598391146e-35
MAPK14.4,6.276349152583333,3.9687099518095237,Up_in_Sepsis,7879,4.602395609023957e-34,0.9541170634920635,1.9067067523099252e-33
MAPK14.2,6.991713182322917,4.478962023119047,Up_in_Sepsis,7819,6.331647236880401e-32,0.9392361111111112,2.2952221233691455e-31
GATA3.2,2.680386344125,3.4169989388571427,Down_in_Sepsis,292,1.8886462060663122e-30,-0.9275793650793651,6.085637775102562e-30
MAPK14,9.64809162871875,8.240780336595238,Up_in_Sepsis,7754,6.366353914929755e-30,0.9231150793650793,1.846242635329629e-29
MAPK14.5,9.046415107265625,7.448984002761905,Up_in_Sepsis,7688,3.938611807641127e-28,0.9067460317460317,1.0383612947417517e-27
MAPK14.1,7.040814754458333,5.375054430571429,Up_in_Sepsis,7684,4.983113129509566e-28,0.9057539682539683,1.2042523396314783e-27
SOCS3.1,6.673953543953125,3.5131001228333334,Up_in_Sepsis,7652,3.1019250024415547e-27,0.8978174603174603,6.919678851600391e-27
IL10,2.5656451269895832,2.075895097904762,Up_in_Sepsis,7259,9.685219438487943e-20,0.8003472222222222,2.0062240265439311e-19
SOCS3,2.780091849328125,2.326080024595238,Up_in_Sepsis,6818,4.609463266416566e-14,0.6909722222222222,8.911628981738693e-14
MYD88.1,8.96918695803125,8.553000379833334,Up_in_Sepsis,6582,1.0700666864901161e-11,0.6324404761904762,1.9394958692633352e-11
MYD88.3,4.799825845203125,4.2513832233095235,Up_in_Sepsis,6281,3.6551039361407646e-9,0.5577876984126984,6.2351773028283625e-9
MYD88,4.157051229786458,3.6322448302619046,Up_in_Sepsis,6042,1.809071964665687e-7,0.49851190476190477,2.914615943072496e-7
HIF1A.6,6.831832001453125,6.261506462642857,Up_in_Sepsis,5831,3.5797219482414194e-6,0.4461805555555555,5.4637861315263775e-6
HIF1A,9.201899686036459,8.774972812095237,Up_in_Sepsis,5803,5.163687109403631e-6,0.4392361111111111,7.317997386800071e-6
HIF1A.7,6.6912716209635414,6.14273205097619,Up_in_Sepsis,5801,5.299239486993155e-6,0.43874007936507936,7.317997386800071e-6
HIF1A.4,5.626500123083333,5.014270684595238,Up_in_Sepsis,5751,1.0018088592585348e-5,0.4263392857142857,1.3205662235680686e-5
MYD88.2,4.096867986104167,3.563624709595238,Up_in_Sepsis,5707,1.724601451944477e-5,0.4154265873015873,2.1744974828865146e-5
HIF1A.5,6.698738280338541,6.113837014547619,Up_in_Sepsis,5703,1.810474261028686e-5,0.4144345238095238,2.1876563987429955e-5
HIF1A.2,6.344892244453125,5.825811928642858,Up_in_Sepsis,5593,6.550698243120725e-5,0.3871527777777778,7.59880996202004e-5
HIF1A.3,5.654186188708334,5.099271985238095,Up_in_Sepsis,5453,2.9387653157679624e-4,0.3524305555555555,3.277853621433497e-4
HIF1A.1,5.144940179895833,4.685262185738095,Up_in_Sepsis,5381,6.008496661934976e-4,0.3345734126984127,6.453570488744975e-4
BCL2.2,2.6040764550104165,2.4909856708809524,Up_in_Sepsis,5081,0.008005410278723752,0.2601686507936508,0.008291317788678173
BCL2.3,2.50291486378125,2.354324042190476,Up_in_Sepsis,4972,0.01769430184245819,0.23313492063492064,0.01769430184245819
