"Gene","MeanImportance","SDImportance"
"S100A12",11.0241902669454,NA
"S100A8",10.3566789398904,NA
"CD177",10.10463179236,0.126769866283331
"ARG1",9.06162658471939,NA
"GATA3",8.21383921633212,6.01965280303201
"IL1R2",6.86792780594631,NA
"MAPK14",4.75098908461041,1.9879160217633
"BCL2",4.26974822878045,5.04132990489054
"CX3CR1",3.54951983009364,NA
"HLA-DRA",3.45285497225263,0.479586649587547
"CCR7",2.84089271928332,NA
"MMP9",2.23860257310417,NA
"ITGAM",1.4329769399781,0.318380644743503
"MMP8",1.1449803525697,0.898871206255247
"SOCS3",0.639899976829835,0.737398053025748
"C3AR1",0.614331157529603,NA
"LCN2",0.447632797076381,NA
"TLR2",0.416408240420155,0.243669411016985
"FCGR1A",0.309738710253229,0.292055561957642
"IL10",0.269596035958567,NA
"OLFM4",0.198705340841419,0.129822163955058
"TREM1",0.161187832179356,0.00538667332906627
"NOTCH1",0.125326882465074,NA
"TLR4",0.116214567316499,0.0442213135483146
"PLAUR",0.0855998497824043,0.0413489049990151
"C5AR1",0.0757770509028361,0.085020055989988
"IL1B",0.0745139306390012,NA
"TNF",0.072333971615545,NA
"MYD88",0.0675249499604284,0.02926958159448
"CD14",0.0644018214604417,0.00935471306015631
"CCR2",0.063359849499917,0.0525794086600798
"TNFSF10",0.0583146201114792,0.0145606314497463
"HIF1A",0.0532837484105669,0.0320122189164131
"HMGB1",0.0426693407002881,0.0612230490754735
"NLRP3",0.0391549211535161,0.00637395956941824
"PDCD1",0.0294213248958986,0.000983197246149688
"ELANE",0.0274356372824755,NA
"ICAM1",0.0273551029741609,0.00512427824360299
"P2RX7",0.0176290774927252,0.0139672503518773
"PTX3",0.0158852709252282,NA
"IL8",0.0147715790148759,0.00988480441025225
