Gene,adjusted_p,Rank_Stat,Mean_Importance,Rank_RF,Rank_Diff,predicted_importance,EffectSize
FCGR1A,3.10259953246017e-13,1,2.61075882735998,1,0,1.13717056708866,0.851
ARG1,3.10259953246017e-13,2,2.47255030528351,4,2,1.13717056708866,0.851
CD177,3.10259953246017e-13,3,2.56546267713701,3,0,1.13717056708866,0.851
S100A8,3.10259953246017e-13,4,2.58950954409744,2,2,1.13717056708866,0.857
S100A9,3.10259953246017e-13,5,1.71927026055516,9,4,1.13717056708866,0.852
S100A12,3.10259953246017e-13,6,1.92042613244781,7,1,1.13717056708866,0.853
SOCS3,3.10259953246017e-13,7,1.71733934512546,10,3,1.13717056708866,0.852
C3AR1,7.72322397277091e-13,8,2.22338494661035,6,2,1.13686305533108,0.835
TNFSF10,8.56837017929955e-13,9,0.719792544903682,16,7,1.13680696173584,0.831
MAPK14,9.98515792493275e-13,10,2.3731262614107,5,5,1.13671303281415,0.827
MMP8,9.98515792493275e-13,11,0.935009611774159,14,3,1.13671303281415,0.825
IL1R2,9.98515792493275e-13,12,0.698755694764563,17,5,1.13671303281415,0.825
