"Sample","ITGAM","C3AR1","CD177","CD177.1","Label"
"GSM3816544",13.1692120655353,11.1180668152958,16.9573478242884,11.8078904824269,"septic shock"
"GSM3816545",12.7480517831428,11.9179359341837,15.6664192673543,10.0856770023549,"septic shock"
"GSM3816547",12.097091419003,11.1958404482329,15.0954705760147,10.0515471792186,"septic shock"
"GSM3816548",11.4504351295332,10.9780495720082,12.4509539382645,7.41909366206767,"septic shock"
"GSM3816550",11.7622912881549,11.4913715185456,11.7331803512178,7.37117803670094,"septic shock"
"GSM3816551",12.9651016661543,13.619383396256,14.9858069956621,9.52053475115422,"septic shock"
"GSM3816554",13.7071622361324,11.9578842169017,17.2420655684169,12.5474088439422,"septic shock"
"GSM3816555",11.6861596699456,11.0885910992525,14.0429453952547,8.32307962825196,"septic shock"
"GSM3816556",12.5490464340707,11.5880728327358,15.2311012238963,8.64271354474131,"septic shock"
"GSM3816557",12.5280142665003,10.3221126533134,16.2586523306695,10.4019524238851,"septic shock"
"GSM3816560",12.4064773690676,12.0163490099684,15.3128760217176,10.2731287046882,"septic shock"
"GSM3816561",11.4837358427214,10.5742524309601,8.98041548114506,7.08418097862177,"septic shock"
"GSM3816562",12.2395682178337,11.8281337889062,13.3611032394734,8.42030565992905,"septic shock"
"GSM3816563",12.2918910931547,11.6927662780267,14.5701865677829,9.55206965122931,"septic shock"
"GSM3816565",12.3708583493389,11.7331803512178,16.2966322192722,10.4365756753551,"septic shock"
"GSM3816566",12.5167281065815,10.9150402251636,16.2430931792266,10.6711429667541,"septic shock"
"GSM3816567",12.2279849595066,11.8492665414593,14.476314109597,8.86432533140358,"septic shock"
"GSM3816568",11.2519890917463,11.5168441730248,13.5271264447036,8.36165283066819,"septic shock"
"GSM3816569",12.4055114538144,11.1997478050867,15.4361833600517,9.99351793567431,"septic shock"
"GSM3816570",11.4424288140148,12.2682423134415,13.8173882530174,8.20581036946279,"septic shock"
"GSM3816571",12.1728185916963,11.2390109902271,13.3358528244761,8.48974040462047,"septic shock"
"GSM3816572",10.9696283214275,10.9906482424883,7.14719585990164,6.95958265827043,"septic shock"
"GSM3816573",11.9699044517089,10.1195156922616,13.0115109198551,7.65186601329154,"septic shock"
"GSM3816574",13.1830286715819,11.763340418302,14.1225348499649,8.33301890136138,"septic shock"
"GSM3816575",11.8466522976723,11.6988277794062,13.3127071793064,8.43872432124344,"septic shock"
"GSM3816576",12.3517810023798,11.658495692539,13.9190878550332,8.3506105425034,"septic shock"
"GSM3816577",12.8332516127735,11.8673118730661,16.6117017663598,10.8748007947585,"septic shock"
"GSM3816579",12.590967986106,11.5887080659656,14.9921372827232,10.4999998062152,"septic shock"
"GSM3816580",12.1933325700663,12.0399760244087,15.363647070597,10.2812419797438,"septic shock"
"GSM3816581",11.040671342222,11.6778220887703,11.4673137752224,7.21129502408206,"septic shock"
"GSM3816582",12.3203688113376,11.8248580749399,16.8157196642226,10.0756262670326,"septic shock"
