"Gene","MeanImportance","SDImportance"
"S100A12",4.59309840201639,0.128378660481788
"S100A8",4.55817187048988,NA
"IL10",4.38510303743316,NA
"MAPK14",4.30862335762433,NA
"GATA3",4.29654300477772,NA
"HLA-DRA",4.16334647386126,NA
"CD177",3.53167230620741,0.927795746404061
"SOCS3",3.24733641333595,NA
"MMP9",3.1700598776813,NA
"S100A9",2.80627265500514,NA
"CCR7",2.50721177699909,NA
"BCL2",2.38209177609159,0.360861504600564
"ARG1",2.24058140132209,0.367658712486174
"C3AR1",1.69284075517084,NA
"MMP8",1.50684451849415,NA
"IL1R2",1.35071092911543,NA
"LCN2",0.797048262201371,NA
"ITGAM",0.706875340629568,NA
"OLFM4",0.61418235915009,NA
"CX3CR1",0.35395508544445,NA
"CCL19",0.241416287834465,0.229582735626336
"PTX3",0.159237733197384,NA
"ELANE",0.1514348700159,NA
"C5AR1",0.132095395239675,NA
"ICAM1",0.125151147698435,NA
"MYD88",0.0951922420163421,NA
"HMGB1",0.0730975638179192,NA
"IFNG",0.0709176193977806,NA
"TLR4",0.0573070310242212,0.0653534590028765
"CCL2",0.0495114523666729,NA
"CXCL10",0.0362671519860777,0.0246661439092652
"PDCD1",0.0332529581005298,NA
"CCR2",0.028577039143263,0.0307774286973039
"IL6",0.020015919610681,0.025276431309511
"P2RX7",0.0199514327981124,0.0108490287227652
"IL8",0.0189380811968686,0.00739557741016864
"VCAM1",0.0111441167967455,NA
"TNFSF10",0.0104294276233563,0.00444820857957801
"IL1B",0.00984943148267853,NA
"TNF",0.00864074149862732,NA
"NOTCH1",0.00852488051346145,0.00505291237849887
"HIF1A",0.00690707096213791,0.00181067119873754
"NLRP3",0.00651336460956141,0.00520269755985836
"CALCA",0.00369127710138221,0.00236097593107846
"TLR2",0.0026291462159006,NA
"CCL25",0.00247957371428162,0.0012910970655894
"TREM1",0.00243087279360824,0.000141072082252436
"CRP",0.00218954579677879,0.000482461056620429
"IFNB1",0.00198772451184216,NA
"CD14",0.00195637175105596,NA
"LBP",0.000584753787878788,NA
"PLAUR",0.000394469696969696,NA
"IFNA2",0.000357101449275362,NA
