Gene,adjusted_p,Rank_Stat,MeanImportance,Rank_RF,Rank_Diff,predicted_importance,EffectSize
ARG1,6.15620895798577e-09,1,2.24058140132209,13,12,2.29095240953312,0.624
CCR7,6.15620895798577e-09,2,2.50721177699909,11,9,2.29095240953312,-0.623
CD177,6.15620895798577e-09,3,3.53167230620741,7,4,2.29095240953312,0.613
GATA3,6.15620895798577e-09,4,4.29654300477772,5,1,2.29095240953312,-0.626
HLA-DRA,6.15620895798577e-09,5,4.16334647386126,6,1,2.29095240953312,NA
IL10,6.15620895798577e-09,6,4.38510303743316,3,3,2.29095240953312,0.626
MAPK14,6.15620895798577e-09,7,4.30862335762433,4,3,2.29095240953312,0.626
MMP9,6.15620895798577e-09,8,3.1700598776813,9,1,2.29095240953312,0.625
S100A12,6.15620895798577e-09,9,4.59309840201639,1,8,2.29095240953312,0.626
S100A8,6.15620895798577e-09,10,4.55817187048988,2,8,2.29095240953312,0.628
SOCS3,6.15620895798577e-09,11,3.24733641333595,8,3,2.29095240953312,0.625
C3AR1,6.44311748994997e-09,12,1.69284075517084,14,2,2.28341580545305,0.62
S100A9,6.44311748994997e-09,13,2.80627265500514,10,3,2.28341580545305,0.62
