Gene,adjusted_p,Rank_Stat,MeanImportance,Rank_RF,Rank_Diff,predicted_importance,EffectSize
CD177,2.90404682526185e-22,1,10.10463179236,3,2,3.12843029434938,0.648
GATA3,2.90404682526185e-22,2,8.21383921633212,5,3,3.12843029434938,-0.652
S100A12,2.90404682526185e-22,3,11.0241902669454,1,2,3.12843029434938,0.66
S100A8,2.90404682526185e-22,4,10.3566789398904,2,2,3.12843029434938,0.654
ARG1,4.14753445718718e-22,5,9.06162658471939,4,1,3.12843029434915,0.651
IL1R2,6.79489462139468e-22,6,6.86792780594631,6,0,3.12843029434868,0.646
MAPK14,8.79595931447776e-22,7,4.75098908461041,7,0,3.12843029434832,0.613
BCL2,1.0682845539528e-21,8,4.26974822878045,8,0,3.12843029434798,-0.641
CX3CR1,1.65735481009934e-21,9,3.54951983009364,9,0,3.12843029434692,-0.637
MMP8,4.09951881092405e-21,10,1.1449803525697,14,4,3.12843029434253,0.63
