Gene,adjusted_p,Rank_Stat,Mean_Importance,Rank_RF,Rank_Diff
ARG1,1.76195241863601e-6,1,1.32353601358215,4,3
CD177,1.76195241863601e-6,2,1.3071351813012,6,4
FCGR1A,1.76195241863601e-6,3,1.09743944170674,11,8
GATA3,1.76195241863601e-6,4,1.32158487506031,5,1
IL1R2,1.76195241863601e-6,5,0.939434748503727,13,8
ITGAM,1.76195241863601e-6,6,1.23997408756852,9,3
LCN2,1.76195241863601e-6,7,0.982419292786366,12,5
MAPK14,1.76195241863601e-6,8,1.15895615590856,10,2
MMP9,1.76195241863601e-6,9,1.25942608910972,8,1
S100A12,1.76195241863601e-6,10,1.33389871656445,3,7
S100A8,1.76195241863601e-6,11,1.41688059725565,1,10
S100A9,1.76195241863601e-6,12,1.33936037217965,2,10
SOCS3,1.76195241863601e-6,13,1.2760029840406,7,6
TLR2,1.92326126395859e-6,14,0.795001055672801,14,0
TLR4,2.89967448567494e-6,15,0.493864795599723,15,0
MMP8,4.35491213399294e-6,16,0.389503981321368,17,1
CCR7,7.58423906521739e-6,17,0.439963856381744,16,1
HIF1A,1.12545284681758e-5,18,0.192986227856464,22,4
OLFM4,1.9226342949478e-5,19,0.121335848481122,24,5
IL1B,2.01115019625086e-5,20,0.32081640248025,18,2
MYD88,2.01115019625086e-5,21,0.14274721114275,23,2
CD14,2.55900105433106e-5,22,0.247193498949722,19,3
HLA.DRA,2.82215918001421e-5,23,0.197261288627552,21,2
BCL2,6.23201648627794e-5,24,0.2258229918912,20,4
IL10,8.45484504905235e-5,25,0.0858130492891053,25,0
HMGB1,1.2350802790984e-4,26,0.0810878288286815,26,0
PLAUR,1.2350802790984e-4,27,0.0586636736254327,28,1
PDCD1,1.5445489030143e-4,28,0.0359219542433639,30,2
TNFSF10,1.9269894849394e-4,29,0.0678287554027958,27,2
CX3CR1,2.7174933091845e-4,30,0.0397587192837417,29,1
C3AR1,2.9772096734401e-4,31,0.0243715817947814,32,1
ELANE,5.1304466390862e-4,32,0.0328441592300021,31,1
PTX3,5.1304466390862e-4,33,0.0202540553531085,33,0
C5AR1,8.9302892804608e-4,34,0.0108369180499135,35,1
TREM1,0.00437276769333767,35,0.0130046161760687,34,1
IL6,0.00574529200864612,36,0.0061651958178274,39,3
NOTCH1,0.0108795709350016,37,0.0077068660715102,37,0
ICAM1,0.011612409409,38,0.0052271462077654,41,3
IFNG,0.01753000933999,39,0.00232548026048026,43,4
CCR2,0.027906438071167,40,0.0101456215685842,36,4
CXCL10,0.027906438071167,41,0.00162219254772687,46,5
CALCA,0.0283806233812049,42,0.0018665522875817,45,3
P2RX7,0.0366604616611097,43,0.00561092506046797,40,3
IFNA1,0.0392619013189675,44,1.9090909090909e-4,52,8
CCL2,0.0546712921286715,45,0.00765413366750209,38,7
CRP,0.128160451544155,46,1.9047619047619e-4,53,7
TNF,0.135854534349131,47,0.00440821248449229,42,5
IFNA2,0.284017724264032,48,1.9130434782608e-4,51,3
LBP,0.394891265711591,49,8.6042279612073e-4,47,2
NLRP3,0.484396195671973,50,5.7211257309941e-4,48,2
VCAM1,0.523175894173958,51,0,54,3
CCL19,0.776097685953155,52,4.7333333333333e-4,50,2
CCL25,0.840640967398935,53,5.668817204301e-4,49,4
CXCL8,0.840640967398935,54,0.00221501824834205,44,10
