Gene,adjusted_p,Rank_Stat,MeanImportance,Rank_RF,Rank_Diff
IL1R2,0.0101754266250367,1,0.778247422617965,4,3
C3AR1,0.024655959317225,2,0.768195517541687,5,3
HMGB1,0.024655959317225,3,1.05664702041911,1,2
MYD88,0.024655959317225,4,0.908886449256259,2,2
CX3CR1,0.066647489256752,5,0.550772593482501,9,4
HIF1A,0.066647489256752,6,0.590038534340918,6,0
PLAUR,0.0768011182812027,7,0.533939944663893,10,3
CD14,0.13972704328534,8,0.818832246382479,3,5
IL8,0.13972704328534,9,0.351628830709575,17,8
TNFSF10,0.13972704328534,10,0.568757327393693,7,3
ICAM1,0.14182368274166,11,0.507377236046264,11,0
CCR2,0.148799382818959,12,0.306996997207066,21,9
TNF,0.152105191072337,13,0.563071802703331,8,5
C5AR1,0.176655319514083,14,0.359094512083237,16,2
ITGAM,0.253258763233454,15,0.255473415297454,27,12
S100A8,0.260075013598744,16,0.283120361976218,23,7
MMP8,0.270262257618991,17,0.308887420253465,20,3
MMP9,0.270262257618991,18,0.215120638021305,42,24
CD177,0.29964938320062,19,0.234327380754701,32,13
P2RX7,0.326520401766361,20,0.380286047399216,14,6
TLR4,0.326520401766361,21,0.322357661724763,19,2
FCGR1A,0.332689456962611,22,0.255972395957587,26,4
IL1B,0.332689456962611,23,0.332442625111252,18,5
S100A12,0.332689456962611,24,0.238267139582653,30,6
CCL2,0.332849886485723,25,0.375817801254311,15,10
ARG1,0.336931733983524,26,0.218103945083635,41,15
MAPK14,0.356252853270862,27,0.227073375196173,36,9
PDCD1,0.357007046712798,28,0.239633551753156,29,1
CXCL10,0.371912417540085,29,0.402094160255741,13,16
TLR2,0.371912417540085,30,0.222283043844693,40,10
NOTCH1,0.392824836011327,31,0.224604591928195,39,8
BCL2,0.430378824354576,32,0.22588817712496,38,6
IFNG,0.430378824354576,33,0.231740548738094,33,0
IL10,0.481228593694359,34,0.23608749181648,31,3
GATA3,0.491478469399231,35,0.175588251317319,47,12
LCN2,0.491478469399231,36,0.230466401665146,34,2
CCL19,0.584728324452842,37,0.225981802505788,37,0
VCAM1,0.608961281720613,38,0.267842904851128,24,14
NLRP3,0.611798588430212,39,0.247293115562908,28,11
ELA2,0.631653616195785,40,0.2856014905899,22,18
S100A9,0.631653616195785,41,0.167544376726674,48,7
HLA-DRA,0.808245968686472,42,0.187697907237674,45,3
IL6,0.808245968686472,43,0.206250071705327,44,1
CALCA,0.842354334029068,44,0.264071715059729,25,19
TREM1,0.842354334029068,45,0.506406693775881,12,33
OLFM4,0.850917429463884,46,0.229133281032349,35,11
CCR7,0.902235550585202,47,0.164148175217404,49,2
CCL25,0.934263244166502,48,0.214198290495618,43,5
SOCS3,0.947737976182152,49,0.181940941646333,46,3
